2026-05-05 12:44:46 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:47 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:49 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:49 | RabbitmqConsumer.py.check_and_restart_threads <-> [DEBUG] Checking consumer threads health...
2026-05-05 12:44:49 | RabbitmqConsumer.py.check_and_restart_threads <-> [DEBUG] Thread RabbitMQConsumerThreadAI-Crowd_Density-0 is alive
2026-05-05 12:44:49 | RabbitmqConsumer.py.check_and_restart_threads <-> [DEBUG] Thread RabbitMQConsumerThreadAI-Crowd_Density-1 is alive
2026-05-05 12:44:49 | RabbitmqConsumer.py.check_and_restart_threads <-> [DEBUG] Thread RabbitMQConsumerThreadAI-Crowd_Density-2 is alive
2026-05-05 12:44:49 | RabbitmqConsumer.py.check_and_restart_threads <-> [DEBUG] Thread RabbitMQConsumerThreadAI-Crowd_Density-3 is alive
2026-05-05 12:44:50 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:51 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:52 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:53 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:54 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:55 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:56 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:57 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:58 | main.py.process_vision_stream     <-> [DEBUG] [VISION STREAM] No messages in queue, waiting for new messages...
2026-05-05 12:44:59 | RabbitmqConsumer.py.check_and_restart_threads <-> [DEBUG] Checking consumer threads health...
2026-05-05 12:44:59 | RabbitmqConsumer.py.check_and_restart_threads <-> [DEBUG] Thread RabbitMQConsumerThreadAI-Crowd_Density-0 is alive
